"Mod name","Registry name","Display name","Recipe name","Tags"
"AE2 QoL Recipes","ae2:blue_smart_cable","Blue ME Smart Cable","ae2qolrecipes:smart_cable/blue_smart_cable2","?"
"AE2 QoL Recipes","ae2:blue_smart_cable","Blue ME Smart Cable","ae2qolrecipes:smart_cable/blue_smart_cable3","?"
"AE2 QoL Recipes","ae2:blue_smart_cable","Blue ME Smart Cable","ae2qolrecipes:smart_cable/blue_smart_cable4","?"
"AE2 QoL Recipes","ae2:blue_smart_dense_cable","Blue ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/blue_smart_dense_cable","?"
"AE2 QoL Recipes","ae2:blue_smart_dense_cable","Blue ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/blue_smart_dense_cable2","?"
"AE2 QoL Recipes","ae2:blue_smart_dense_cable","Blue ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/blue_smart_dense_cable3","?"
"AE2 QoL Recipes","ae2:blue_smart_dense_cable","Blue ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/blue_smart_dense_cable4","?"
"AE2 QoL Recipes","ae2:brown_covered_cable","Brown ME Covered Cable","ae2qolrecipes:covered_cable/brown_covered_cable","?"
"AE2 QoL Recipes","ae2:brown_covered_cable","Brown ME Covered Cable","ae2qolrecipes:covered_cable/brown_covered_cable2","?"
"AE2 QoL Recipes","ae2:brown_covered_cable","Brown ME Covered Cable","ae2qolrecipes:covered_cable/brown_covered_cable3","?"
"AE2 QoL Recipes","ae2:brown_covered_dense_cable","Brown ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/brown_covered_dense_cable","?"
"AE2 QoL Recipes","ae2:brown_covered_dense_cable","Brown ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/brown_covered_dense_cable2","?"
"AE2 QoL Recipes","ae2:brown_covered_dense_cable","Brown ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/brown_covered_dense_cable3","?"
"AE2 QoL Recipes","ae2:brown_glass_cable","Brown ME Glass Cable","ae2qolrecipes:glass_cable/brown_glass_cable","?"
"AE2 QoL Recipes","ae2:brown_glass_cable","Brown ME Glass Cable","ae2qolrecipes:glass_cable/brown_glass_cable2","?"
"AE2 QoL Recipes","ae2:brown_smart_cable","Brown ME Smart Cable","ae2qolrecipes:smart_cable/brown_smart_cable","?"
"AE2 QoL Recipes","ae2:brown_smart_cable","Brown ME Smart Cable","ae2qolrecipes:smart_cable/brown_smart_cable2","?"
"AE2 QoL Recipes","ae2:brown_smart_cable","Brown ME Smart Cable","ae2qolrecipes:smart_cable/brown_smart_cable3","?"
"AE2 QoL Recipes","ae2:brown_smart_cable","Brown ME Smart Cable","ae2qolrecipes:smart_cable/brown_smart_cable4","?"
"AE2 QoL Recipes","ae2:brown_smart_dense_cable","Brown ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/brown_smart_dense_cable","?"
"AE2 QoL Recipes","ae2:brown_smart_dense_cable","Brown ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/brown_smart_dense_cable2","?"
"AE2 QoL Recipes","ae2:brown_smart_dense_cable","Brown ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/brown_smart_dense_cable3","?"
"AE2 QoL Recipes","ae2:brown_smart_dense_cable","Brown ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/brown_smart_dense_cable4","?"
"AE2 QoL Recipes","ae2:cyan_covered_cable","Cyan ME Covered Cable","ae2qolrecipes:covered_cable/cyan_covered_cable","?"
"AE2 QoL Recipes","ae2:cyan_covered_cable","Cyan ME Covered Cable","ae2qolrecipes:covered_cable/cyan_covered_cable2","?"
"AE2 QoL Recipes","ae2:cyan_covered_cable","Cyan ME Covered Cable","ae2qolrecipes:covered_cable/cyan_covered_cable3","?"
"AE2 QoL Recipes","ae2:cyan_covered_dense_cable","Cyan ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/cyan_covered_dense_cable","?"
"AE2 QoL Recipes","ae2:cyan_covered_dense_cable","Cyan ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/cyan_covered_dense_cable2","?"
"AE2 QoL Recipes","ae2:cyan_covered_dense_cable","Cyan ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/cyan_covered_dense_cable3","?"
"AE2 QoL Recipes","ae2:cyan_glass_cable","Cyan ME Glass Cable","ae2qolrecipes:glass_cable/cyan_glass_cable","?"
"AE2 QoL Recipes","ae2:cyan_glass_cable","Cyan ME Glass Cable","ae2qolrecipes:glass_cable/cyan_glass_cable2","?"
"AE2 QoL Recipes","ae2:cyan_smart_cable","Cyan ME Smart Cable","ae2qolrecipes:smart_cable/cyan_smart_cable","?"
"AE2 QoL Recipes","ae2:cyan_smart_cable","Cyan ME Smart Cable","ae2qolrecipes:smart_cable/cyan_smart_cable2","?"
"AE2 QoL Recipes","ae2:cyan_smart_cable","Cyan ME Smart Cable","ae2qolrecipes:smart_cable/cyan_smart_cable3","?"
"AE2 QoL Recipes","ae2:cyan_smart_cable","Cyan ME Smart Cable","ae2qolrecipes:smart_cable/cyan_smart_cable4","?"
"AE2 QoL Recipes","ae2:cyan_smart_dense_cable","Cyan ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/cyan_smart_dense_cable","?"
"AE2 QoL Recipes","ae2:cyan_smart_dense_cable","Cyan ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/cyan_smart_dense_cable2","?"
"AE2 QoL Recipes","ae2:cyan_smart_dense_cable","Cyan ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/cyan_smart_dense_cable3","?"
"AE2 QoL Recipes","ae2:cyan_smart_dense_cable","Cyan ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/cyan_smart_dense_cable4","?"
"AE2 QoL Recipes","ae2:fluix_covered_cable","Fluix ME Covered Cable","ae2qolrecipes:other/fluix_covered_cable","?"
"AE2 QoL Recipes","ae2:fluix_covered_dense_cable","Fluix ME Dense Covered Cable","ae2qolrecipes:other/fluix_dense_covered_cable","?"
"AE2 QoL Recipes","ae2:fluix_glass_cable","Fluix ME Glass Cable","ae2qolrecipes:other/fluix_glass_cable","?"
"AE2 QoL Recipes","ae2:fluix_smart_cable","Fluix ME Smart Cable","ae2qolrecipes:other/fluix_smart_cable","?"
"AE2 QoL Recipes","ae2:fluix_smart_dense_cable","Fluix ME Dense Smart Cable","ae2qolrecipes:other/fluix_dense_smart_cable","?"
"AE2 QoL Recipes","ae2:gray_covered_cable","Gray ME Covered Cable","ae2qolrecipes:covered_cable/gray_covered_cable","?"
"AE2 QoL Recipes","ae2:gray_covered_cable","Gray ME Covered Cable","ae2qolrecipes:covered_cable/gray_covered_cable2","?"
"AE2 QoL Recipes","ae2:gray_covered_cable","Gray ME Covered Cable","ae2qolrecipes:covered_cable/gray_covered_cable3","?"
"AE2 QoL Recipes","ae2:gray_covered_dense_cable","Gray ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/gray_covered_dense_cable","?"
"AE2 QoL Recipes","ae2:gray_covered_dense_cable","Gray ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/gray_covered_dense_cable2","?"
"AE2 QoL Recipes","ae2:gray_covered_dense_cable","Gray ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/gray_covered_dense_cable3","?"
"AE2 QoL Recipes","ae2:gray_glass_cable","Gray ME Glass Cable","ae2qolrecipes:glass_cable/gray_glass_cable","?"
"AE2 QoL Recipes","ae2:gray_glass_cable","Gray ME Glass Cable","ae2qolrecipes:glass_cable/gray_glass_cable2","?"
"AE2 QoL Recipes","ae2:gray_smart_cable","Gray ME Smart Cable","ae2qolrecipes:smart_cable/gray_smart_cable","?"
"AE2 QoL Recipes","ae2:gray_smart_cable","Gray ME Smart Cable","ae2qolrecipes:smart_cable/gray_smart_cable2","?"
"AE2 QoL Recipes","ae2:gray_smart_cable","Gray ME Smart Cable","ae2qolrecipes:smart_cable/gray_smart_cable3","?"
"AE2 QoL Recipes","ae2:gray_smart_cable","Gray ME Smart Cable","ae2qolrecipes:smart_cable/gray_smart_cable4","?"
"AE2 QoL Recipes","ae2:gray_smart_dense_cable","Gray ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/gray_smart_dense_cable","?"
"AE2 QoL Recipes","ae2:gray_smart_dense_cable","Gray ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/gray_smart_dense_cable2","?"
"AE2 QoL Recipes","ae2:gray_smart_dense_cable","Gray ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/gray_smart_dense_cable3","?"
"AE2 QoL Recipes","ae2:gray_smart_dense_cable","Gray ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/gray_smart_dense_cable4","?"
"AE2 QoL Recipes","ae2:green_covered_cable","Green ME Covered Cable","ae2qolrecipes:covered_cable/green_covered_cable","?"
"AE2 QoL Recipes","ae2:green_covered_cable","Green ME Covered Cable","ae2qolrecipes:covered_cable/green_covered_cable2","?"
"AE2 QoL Recipes","ae2:green_covered_cable","Green ME Covered Cable","ae2qolrecipes:covered_cable/green_covered_cable3","?"
"AE2 QoL Recipes","ae2:green_covered_dense_cable","Green ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/green_covered_dense_cable","?"
"AE2 QoL Recipes","ae2:green_covered_dense_cable","Green ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/green_covered_dense_cable2","?"
"AE2 QoL Recipes","ae2:green_covered_dense_cable","Green ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/green_covered_dense_cable3","?"
"AE2 QoL Recipes","ae2:green_glass_cable","Green ME Glass Cable","ae2qolrecipes:glass_cable/green_glass_cable","?"
"AE2 QoL Recipes","ae2:green_glass_cable","Green ME Glass Cable","ae2qolrecipes:glass_cable/green_glass_cable2","?"
"AE2 QoL Recipes","ae2:green_smart_cable","Green ME Smart Cable","ae2qolrecipes:smart_cable/green_smart_cable","?"
"AE2 QoL Recipes","ae2:green_smart_cable","Green ME Smart Cable","ae2qolrecipes:smart_cable/green_smart_cable2","?"
"AE2 QoL Recipes","ae2:green_smart_cable","Green ME Smart Cable","ae2qolrecipes:smart_cable/green_smart_cable3","?"
"AE2 QoL Recipes","ae2:green_smart_cable","Green ME Smart Cable","ae2qolrecipes:smart_cable/green_smart_cable4","?"
"AE2 QoL Recipes","ae2:green_smart_dense_cable","Green ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/green_smart_dense_cable","?"
"AE2 QoL Recipes","ae2:green_smart_dense_cable","Green ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/green_smart_dense_cable2","?"
"AE2 QoL Recipes","ae2:green_smart_dense_cable","Green ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/green_smart_dense_cable3","?"
"AE2 QoL Recipes","ae2:green_smart_dense_cable","Green ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/green_smart_dense_cable4","?"
"AE2 QoL Recipes","ae2:light_blue_covered_cable","Light Blue ME Covered Cable","ae2qolrecipes:covered_cable/light_blue_covered_cable","?"
"AE2 QoL Recipes","ae2:light_blue_covered_cable","Light Blue ME Covered Cable","ae2qolrecipes:covered_cable/light_blue_covered_cable2","?"
"AE2 QoL Recipes","ae2:light_blue_covered_cable","Light Blue ME Covered Cable","ae2qolrecipes:covered_cable/light_blue_covered_cable3","?"
"AE2 QoL Recipes","ae2:light_blue_covered_dense_cable","Light Blue ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/light_blue_covered_dense_cable","?"
"AE2 QoL Recipes","ae2:light_blue_covered_dense_cable","Light Blue ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/light_blue_covered_dense_cable2","?"
"AE2 QoL Recipes","ae2:light_blue_covered_dense_cable","Light Blue ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/light_blue_covered_dense_cable3","?"
"AE2 QoL Recipes","ae2:light_blue_glass_cable","Light Blue ME Glass Cable","ae2qolrecipes:glass_cable/light_blue_glass_cable","?"
"AE2 QoL Recipes","ae2:light_blue_glass_cable","Light Blue ME Glass Cable","ae2qolrecipes:glass_cable/light_blue_glass_cable2","?"
"AE2 QoL Recipes","ae2:light_blue_smart_cable","Light Blue ME Smart Cable","ae2qolrecipes:smart_cable/light_blue_smart_cable","?"
"AE2 QoL Recipes","ae2:light_blue_smart_cable","Light Blue ME Smart Cable","ae2qolrecipes:smart_cable/light_blue_smart_cable2","?"
"AE2 QoL Recipes","ae2:light_blue_smart_cable","Light Blue ME Smart Cable","ae2qolrecipes:smart_cable/light_blue_smart_cable3","?"
"AE2 QoL Recipes","ae2:light_blue_smart_cable","Light Blue ME Smart Cable","ae2qolrecipes:smart_cable/light_blue_smart_cable4","?"
"AE2 QoL Recipes","ae2:light_blue_smart_dense_cable","Light Blue ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/light_blue_smart_dense_cable","?"
"AE2 QoL Recipes","ae2:light_blue_smart_dense_cable","Light Blue ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/light_blue_smart_dense_cable2","?"
"AE2 QoL Recipes","ae2:light_blue_smart_dense_cable","Light Blue ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/light_blue_smart_dense_cable3","?"
"AE2 QoL Recipes","ae2:light_blue_smart_dense_cable","Light Blue ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/light_blue_smart_dense_cable4","?"
"AE2 QoL Recipes","ae2:light_gray_covered_cable","Light Gray ME Covered Cable","ae2qolrecipes:covered_cable/light_gray_covered_cable","?"
"AE2 QoL Recipes","ae2:light_gray_covered_cable","Light Gray ME Covered Cable","ae2qolrecipes:covered_cable/light_gray_covered_cable2","?"
"AE2 QoL Recipes","ae2:light_gray_covered_cable","Light Gray ME Covered Cable","ae2qolrecipes:covered_cable/light_gray_covered_cable3","?"
"AE2 QoL Recipes","ae2:light_gray_covered_dense_cable","Light Gray ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/light_gray_covered_dense_cable","?"
"AE2 QoL Recipes","ae2:light_gray_covered_dense_cable","Light Gray ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/light_gray_covered_dense_cable2","?"
"AE2 QoL Recipes","ae2:light_gray_covered_dense_cable","Light Gray ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/light_gray_covered_dense_cable3","?"
"AE2 QoL Recipes","ae2:light_gray_glass_cable","Light Gray ME Glass Cable","ae2qolrecipes:glass_cable/light_gray_glass_cable","?"
"AE2 QoL Recipes","ae2:light_gray_glass_cable","Light Gray ME Glass Cable","ae2qolrecipes:glass_cable/light_gray_glass_cable2","?"
"AE2 QoL Recipes","ae2:light_gray_smart_cable","Light Gray ME Smart Cable","ae2qolrecipes:smart_cable/light_gray_smart_cable","?"
"AE2 QoL Recipes","ae2:light_gray_smart_cable","Light Gray ME Smart Cable","ae2qolrecipes:smart_cable/light_gray_smart_cable2","?"
"AE2 QoL Recipes","ae2:light_gray_smart_cable","Light Gray ME Smart Cable","ae2qolrecipes:smart_cable/light_gray_smart_cable3","?"
"AE2 QoL Recipes","ae2:light_gray_smart_cable","Light Gray ME Smart Cable","ae2qolrecipes:smart_cable/light_gray_smart_cable4","?"
"AE2 QoL Recipes","ae2:light_gray_smart_dense_cable","Light Gray ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/light_gray_smart_dense_cable","?"
"AE2 QoL Recipes","ae2:light_gray_smart_dense_cable","Light Gray ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/light_gray_smart_dense_cable2","?"
"AE2 QoL Recipes","ae2:light_gray_smart_dense_cable","Light Gray ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/light_gray_smart_dense_cable3","?"
"AE2 QoL Recipes","ae2:light_gray_smart_dense_cable","Light Gray ME Dense Smart Cable","ae2qolrecipes:smart_dense_cable/light_gray_smart_dense_cable4","?"
"AE2 QoL Recipes","ae2:lime_covered_cable","Lime ME Covered Cable","ae2qolrecipes:covered_cable/lime_covered_cable.json","?"
"AE2 QoL Recipes","ae2:lime_covered_cable","Lime ME Covered Cable","ae2qolrecipes:covered_cable/lime_covered_cable2","?"
"AE2 QoL Recipes","ae2:lime_covered_cable","Lime ME Covered Cable","ae2qolrecipes:covered_cable/lime_covered_cable3","?"
"AE2 QoL Recipes","ae2:lime_covered_dense_cable","Lime ME Dense Covered Cable","ae2qolrecipes:covered_dense_cable/lime_covered_dense_cable","?"
